state,density,year,state_minimum_wage,federal_minimum_wage,latitude,longitude,decade,state_average_by_decade,state_median_by_decade,federal_average_by_decade,federal_median_by_decade
Alabama,94.65,1970,0,1.3,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1971,0,1.3,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1972,0,1.6,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1973,0,1.6,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1974,0,1.6,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1975,0,1.6,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1976,0,2.2,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1977,0,2.2,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1978,0,2.2,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1979,0,2.9,32.6010112,-86.6807365,1970,0,0,1.85,1.6
Alabama,94.65,1980,0,3.1,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1981,0,3.35,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1982,0,3.35,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1983,0,3.35,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1984,0,3.35,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1985,0,3.35,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1986,0,3.35,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1987,0,3.35,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1988,0,3.35,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1989,0,3.35,32.6010112,-86.6807365,1980,0,0,3.33,3.35
Alabama,94.65,1990,0,3.35,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,1991,0,3.8,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,1992,0,4.25,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,1993,0,4.25,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,1994,0,4.25,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,1995,0,4.25,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,1996,0,4.25,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,1997,0,4.75,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,1998,0,5.15,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,1999,0,5.15,32.6010112,-86.6807365,1990,0,0,4.34,4.25
Alabama,94.65,2000,0,5.15,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2001,0,5.15,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2002,0,5.15,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2003,0,5.15,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2004,0,5.15,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2005,0,5.15,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2006,0,5.15,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2007,0,5.15,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2008,0,5.85,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2009,0,6.55,32.6010112,-86.6807365,2000,0,0,5.36,5.15
Alabama,94.65,2010,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2011,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2012,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2013,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2014,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2015,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2016,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2017,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2018,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2019,0,7.25,32.6010112,-86.6807365,2010,0,0,7.25,7.25
Alabama,94.65,2020,0,7.25,32.6010112,-86.6807365,2020,0,0,7.25,7.25
Alaska,1.264,1970,2.1,1.3,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1971,2.1,1.3,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1972,2.1,1.6,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1973,2.1,1.6,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1974,2.1,1.6,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1975,2.1,1.6,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1976,2.8,2.2,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1977,2.8,2.2,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1978,2.8,2.2,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1979,3.4,2.9,61.3025006,-158.7750198,1970,2.44,2.1,1.85,1.6
Alaska,1.264,1980,3.6,3.1,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1981,3.85,3.35,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1982,3.85,3.35,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1983,3.85,3.35,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1984,3.85,3.35,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1985,3.85,3.35,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1986,3.85,3.35,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1987,3.85,3.35,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1988,3.85,3.35,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1989,3.85,3.35,61.3025006,-158.7750198,1980,3.83,3.85,3.33,3.35
Alaska,1.264,1990,3.85,3.35,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,1991,4.3,3.8,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,1992,4.75,4.25,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,1993,4.75,4.25,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,1994,4.75,4.25,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,1995,4.75,4.25,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,1996,4.75,4.25,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,1997,5.25,4.75,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,1998,5.65,5.15,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,1999,5.65,5.15,61.3025006,-158.7750198,1990,4.84,4.75,4.34,4.25
Alaska,1.264,2000,5.65,5.15,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2001,5.65,5.15,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2002,5.65,5.15,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2003,7.15,5.15,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2004,7.15,5.15,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2005,7.15,5.15,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2006,7.15,5.15,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2007,7.15,5.15,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2008,7.15,5.85,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2009,7.15,6.55,61.3025006,-158.7750198,2000,6.7,7.15,5.36,5.15
Alaska,1.264,2010,7.75,7.25,61.3025006,-158.7750198,2010,8.71,8.25,7.25,7.25
Alaska,1.264,2011,7.75,7.25,61.3025006,-158.7750198,2010,8.71,8.25,7.25,7.25
