Year,State,State_code,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote
1968,Alabama,AL,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,
1968,Alaska,AK,2.1,15.61,1.15,8.55,2.1,15.61,34.8,2.1,2.1,15.61,2.1,15.61,
1968,Arizona,AZ,0.468,3.48,1.15,8.55,1.15,8.55,34.8,18.72 - 26.40/wk(b),0.468,3.48,0.66,4.91,(b)
1968,Arkansas,AR,0.15625,1.16,1.15,8.55,1.15,8.55,34.8,1.25/day(b),0.15625,1.16,0.15625,1.16,(b)
1968,California,CA,1.65,12.26,1.15,8.55,1.65,12.26,34.8,1.65(b),1.65,12.26,1.65,12.26,(b)
1968,Colorado,CO,1,7.43,1.15,8.55,1.15,8.55,34.8,1.00 - 1.25(b),1,7.43,1.25,9.29,(b)
1968,Connecticut,CT,1.4,10.41,1.15,8.55,1.4,10.41,34.8,1.4,1.4,10.41,1.4,10.41,
1968,Delaware,DE,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,
1968,District of Columbia,DC,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25 - 1.40,1.25,9.29,1.4,10.41,
1968,Florida,FL,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,
1968,Georgia,GA,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,
1968,Guam,None,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,
1968,Hawaii,HI,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,
1968,Idaho,ID,1.15,8.55,1.15,8.55,1.15,8.55,34.8,1.15,1.15,8.55,1.15,8.55,
1968,Illinois,IL,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,
1968,Indiana,IN,1.15,8.55,1.15,8.55,1.15,8.55,34.8,1.15,1.15,8.55,1.15,8.55,
1968,Iowa,IA,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,
1968,Kansas,KS,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,
1968,Kentucky,KY,0.65,4.83,1.15,8.55,1.15,8.55,34.8,.65 - .75(b),0.65,4.83,0.75,5.57,(b)
1968,Louisiana,LA,0,0,1.15,8.55,1.15,8.55,34.8,...,0,0,0,0,
1968,Maine,ME,1.4,10.41,1.15,8.55,1.4,10.41,34.8,1.4,1.4,10.41,1.4,10.41,
1968,Maryland,MD,1,7.43,1.15,8.55,1.15,8.55,34.8,1.00 & 1.15,1,7.43,1.15,8.55,
1968,Massachusetts,MA,1.6,11.89,1.15,8.55,1.6,11.89,34.8,1.6,1.6,11.89,1.6,11.89,
1968,Michigan,MI,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,
1968,Minnesota,MN,0.7,5.2,1.15,8.55,1.15,8.55,34.8,.70 - 1.15(b),0.7,5.2,1.15,8.55,(b)
