State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,74340.3,77946.9,82570,87080.2,90325.4,94859.3,99368.5,105420.7,113258.8,118931.8,124176.3,127649.7,126501.6,130833.8,135211.8,138773.3,141727.5,146511.7,150798.4,155347.6,161137.1,167799.1,174016
Alaska,13799.3,14475.2,15414,16578,17624.6,18929.7,20110.1,21414.2,22812.7,24046.7,25208.1,26488.9,26806.2,27841,29373.8,30489.3,31087.7,32219.5,33012.4,33685,34856.6,36014.5,37090
Arizona,91972.3,99006.9,107470.5,116521.5,121913.8,128044.8,135951,147499.2,161460.6,175151.3,185007.4,186485.1,181387.9,186603.4,193885.6,199385.3,205458.1,215648.3,225843.9,235897.2,250736.6,264430.8,276910.4
Arkansas,41057.2,43456.6,46556.9,49704,51688.4,53668.9,56460,59980.2,64341.5,68325.4,71901.8,74688.7,74385.2,77004.9,80630.8,83204.3,85116.9,87928.6,90703.2,94120.5,98123,102265.6,105702.4
California,689108.2,730689.8,784254.8,853510.2,893521.4,930236.8,978212.2,1044324,1112785.6,1180190.2,1243263.1,1267011.9,1226944.4,1279143.2,1340571.7,1395324.9,1432059.1,1503993.9,1589634.6,1667745.6,1759402.1,1852976.3,1947589.8
Colorado,89469.6,96764.3,106165.5,117009.2,123240.4,126589.8,132075.9,139882.6,148386.5,157235.5,166096,170934.8,168433.3,172803.3,180175.9,186386.6,193419.8,204620.6,215864.9,227753.5,240438,253730.3,266987.6
Connecticut,85205.2,90672,96487,102017.3,106372.6,110751.2,115556.4,123120.1,131630.5,139192.8,145761.8,149127.3,145914.6,149077.3,153965.1,157528.7,161690.5,167736.5,172079.8,176915.9,182612.1,189856.9,195327.1
Delaware,16225.9,17344.9,18709.8,19863.8,20981.1,22095.8,23431,25146.7,27020.2,28537.5,30107.9,31111.7,30751.9,32001.7,33441.6,34362.9,35487.6,37030.6,38469.8,39611.4,41177,43188.6,44624.7
District of Columbia,18121.3,18344.3,19271.1,20447,21585.6,22497.1,23543.5,25032.7,26455.9,27653.4,29315.8,30478.1,30209.5,31246.6,32691,33875.1,35371.1,37126.7,38934.2,40674.5,42316.2,44692.1,46122
Florida,314431.2,336078.2,356118,386621.9,406289.8,420568,445273.6,482756.1,524355,564762.3,589257.8,597531.5,588295.9,609692.8,639640.5,665263.8,686934.8,727300.9,766806.2,799108.7,835406.6,882110.3,923931.4
Georgia,145244.3,154480.2,167173.2,181590,190153.9,198392.5,209393,222435.3,238599.7,254211.4,268277.1,273696.8,268073.5,276667.8,289926,299654.5,309456,325151.2,338670.7,353523.6,371696,389975.9,404263.7
Hawaii,25888.4,26480.1,27473,29315.1,30507.9,31692,33813,36309.7,39558.9,42367.7,44386,46601.1,46360.6,48196.8,50614.7,53034.4,54767.3,57294.7,59262.3,61463.4,64057.1,67372.3,69993.4
Idaho,21121.2,22323,24038.2,26034.1,27122.4,28279.9,30059.8,32431.9,35586.9,38671.7,41062.5,42178.5,41163,42494.6,44493.2,46269,48310.3,50769.3,53195.9,56089.1,59946.5,63585.1,66448.4
Illinois,259886.5,274525.4,289477,313177,324450.5,335134.3,349207.8,367952.1,388386.8,407829.8,427406.2,436806.7,427637.1,440902,456498.1,466867.5,475332.2,494684.7,511456.7,527428.8,547168.9,569240.5,585415.2
Indiana,111212.2,117360.1,124922.5,132487.8,138115.6,143456.1,150309.7,160435.4,169514.5,176833.4,183440.2,187838.9,185227.3,190953.9,199013.2,206726.3,211584.9,218348.3,223999.5,232627.9,244451.9,255050.3,263533
Iowa,53685.2,56692.1,60175.3,63726.6,65572.5,67251.5,70629.4,75020.5,79074.7,83443.6,87024.6,90365,90328.9,93260.4,97655.1,100614.9,103064.9,106922.4,109575.9,113259.4,117647.2,121567.1,124069.7
Kansas,47648.9,50892.2,54497.4,58190.4,60465.4,62183.2,65239.5,69175.3,72783.2,77469.2,81867.8,84690.8,83745.7,85461.5,89189.3,92119.1,93801.2,97176.3,100307.8,103470.4,106677.3,110354.8,113323.2
Kentucky,67463,71436.2,75951.9,81300.5,84144.4,87727.4,92015.3,97305.2,103131,108625.5,112369.4,115668.1,115741.2,119806.3,125237.5,128650.5,131141.6,135649.3,140674.8,146463.9,151944.5,157586.9,162389.8
Louisiana,74088.6,78178.3,82124.4,86643.3,90022.5,93570.2,98760.7,104689.4,109377.5,116018.7,122382.6,127072.9,126669.9,131421.1,136252,140007.7,143571.1,148711.3,153753.4,157367.2,162049,168095,173167
Maine,25586.7,27439.5,29458.9,31242,33014.8,34823.7,36972.7,39375.2,41580,43668.7,45605.3,46895.7,46664.7,48018.6,49568.6,50396.9,51301.3,52956.8,54459.2,56316,58852.5,61592.8,63649.5
Maryland,112122.6,118596,126644.6,137125.3,145329.8,152627.5,161392.9,172121.8,183837.2,194894.3,204072,208882.4,207450.5,214789.8,222357.7,229128.2,234491.6,243558.5,251772.7,260093.2,270118.5,279172.1,287343.8
Massachusetts,158943.7,169102,180032.8,195220.1,204869.9,210850.6,221163.6,234442.3,248003.8,260461.6,270119.7,278610.5,274838.7,282701,292820.9,301958.5,309717.3,322597.9,335471.1,346206.2,359648.5,374377.7,387570.3
